,Category,Description,Domain,Enrolled,Features,Instructors_Names,Instructors_No,Offered_by,People_rated,Rating,Sub_Domain,Tittle,Views
78,specializations,"In the business world, smart organizations use branding and strategic management techniques to differentiate themselves from their competition and to achieve a competitive advantage. In this Specialization, you will learn how to use proven brand management methods and tools for individual career development in competitive job environments. You will gain knowledge and analytical skills for career self-management and learn techniques for career brand building. You will create a robust self-management information system that will help you self-organize and increase your human capital by building high demand employability skills. During each week of the Specialization, you will be practicing various career branding techniques in your custom-built, individual Career Development Lab. The final Capstone Project is designed as a training facility where you will create your evidence-based portfolios, professional development plans, personal self-marketing and branding strategies, presentations, and public profiles.",Business,11976,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 5 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 5 months to complete', 'English']","['Dr. Valeri Chukhlomin', 'Dr. Michele Forte', 'Dr. John M. Beckem II', 'Amy Giaculli', 'Dr. Kymn Harvin Rutigliano ']",5.0,The State University of New York,211,4.4,Business Essentials,Career Brand Management Specialization,2074
79,specializations,"Actively creating a career journey that is fulfilling and integrates the best use of our personal strengths and skills is crucial to deriving value from the work that we do.

This specialization covers career planning, leadership and other essential skills and concepts, and what they mean for individuals in their career development. It starts with career planning as a pathway to employment, developed at the University System of Georgia, which comprises Georgia's public colleges and universities, Georgia Archives and the Georgia Public Library Service. It then introduces successful career development, which provides you with the tools to network with intention and get the most value out of LinkedIn.

The specialization then switches gears into what it takes to research a new career and acquire the skills necessary to succeed in it. Finally, you will be asked to reflect on your experiences and critically evaluate what you currently know, what you need to acquire, and how to go about getting it. This is tied together with prior knowledge on how to then leverage your network to connect with people that can serve and support you in exploring a new career.",Personal Development,1859,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 6 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 6 months to complete', 'English']","['Ana T. Baida, Ed.D.', 'Wes Rhea, J.D.', 'Dan Stotz']",3.0,University System of Georgia,48,4.8,Personal Development,Career Discovery Specialization,
80,specializations,"This series of courses will help you build, develop and hone the essential skills needed to improve your employability and advancement in todayâs dynamic workforce. The courses in this Specialization may be taken in any order. Each course can also be taken independently. The Specialization concludes with a Capstone project that will give you the opportunity to integrate and apply the skills you have gained throughout the courses to your individual and organizational needs.",Business,173841,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 11 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 11 months to complete', 'English']","['Rob Stone, PMP, M.Ed.', 'Margaret  Meloni,  MBA, PMP', 'David Standen, MBA', 'Diane Spiegel', 'Sue Robins, M.S. Ed.', '  Dave Nagy', 'Patricia  Bravo, MBA, SPHR ']",7.0,"University of California, Irvine",13412,4.6,Business Essentials,Career Success Specialization,13916
81,specializations,"Caring for Others examines how society cares for its at-risk members and the experiences of its caregivers. This specialization addresses questions such as: How much suffering is in the world today? Does digital media sensitize/desensitize us to the anguish of distant others? What are the different types of paid care work? How do care workers manage their emotions? And much more. This specialization is relevant to individuals interested in becoming a helping professional as well as anyone hoping to improve and better understand the human condition.

This specialization may be completed for nursing continuing professional development contact hours. The University of Colorado College of Nursing is approved as a provider of nursing continuing professional development by the Colorado Nurses Association, an accredited approver by the American Nurses Credentialing Centerâs Commission on Accreditation. This offering for a maximum of 37.5 contact hours is provided by the University of Colorado College of Nursing Office of Continuing Education. Each course provides 12.5 contact hours.

If you are an educator, you are eligible to receive 2 teacher education university credits from the University of Colorado Boulder.

A portion of the proceeds from this specialization will be used to create paid internships for CU Boulder students pursuing careers in the helping professions.",Social Sciences,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English']",['Don Grant'],1.0,University of Colorado Boulder,13412,,Education,Caring for Others Specialization,
82,specializations,"Participar en conversaciones cotidianas, usar frases prÃ¡cticas en un viaje a la China, expandir su conocimiento acerca de la cultura china. Este Programa Especializado ofrece tres cursos que cubren temas prÃ¡cticos como el lenguaje que se usa en un viaje a la China, conversaciones cotidianas, y vocabulario relacionado con los negocios. Para el proyecto final, usted crearÃ¡ una serie de videos con conversaciones sobre los temas aprendidos en clase, demostrando asÃ­ sus habilidades en el idioma chino.",Language Learning,3176,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 7 months to complete', 'Spanish', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 7 months to complete', 'Spanish']","['Emilia GraciaTop Instructor', 'Kim Chamberlin']",2.0,Arizona State University,170,4.6,Other Languages,Chino bÃ¡sico: Lenguaje y cultura empresarial Specialization,
83,specializations,"Hoy mÃ¡s que nunca, proteger los activos de informaciÃ³n es una necesidad de todas las organizaciones. Las pÃ©rdidas econÃ³micas y de reputaciÃ³n, entre otros aspectos, vuelven esta necesidad creciente un tema neurÃ¡lgico, tanto estratÃ©gico como tecnolÃ³gico en las organizaciones. Por su parte, las oportunidades laborales en este campo siguen aumentando, lo cual genera una necesidad de formaciÃ³n tanto en conocimientos como en competencias profesionales en el Ã¡rea de la Ciberseguridad, para que los responsables de la seguridad de la informaciÃ³n puedan responder en forma adecuada a los nuevos retos. El programa especializado de Ciberseguridad ofrece conocimientos fundamentales sobre la seguridad en la informaciÃ³n y seguridad en la red, a fin de que el/la estudiante realice procedimientos bÃ¡sicos que le permitan identificar amenazas y vulnerabilidades de informaciÃ³n en las organizaciones, asÃ­ como implementar diferentes controles para la defensa de la red de computadores, el host y el manejo de incidentes.",Computer Science,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 3 months to complete', 'Spanish', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 3 months to complete', 'Spanish']","['Ricardo Posada Maya', 'FabiÃ¡n Molina', 'Sandra Julieta Rueda RodrÃ\xadguez', 'Yezid Enrique Donoso Meisel', 'Carlos AndrÃ©s Lozano GarzÃ³n', 'Harold Enrique Castro Barrera', 'Juan Diego Jimenez']",7.0,Universidad de los Andes,64,4.7,Computer Security and Networks,Ciberseguridad Specialization,3140
84,specializations,"Este Programa de Cursos Integrados tem como objetivo apresentar a aplicabilidade da ciÃªncia de dados no mercado financeiro, alÃ©m de apresentar os fundamentos de analytics na Ã¡rea de finanÃ§as para atender a crescente demanda por ferramentas mais sofisticadas para coletar, analisar e processar dados, estruturados ou nÃ£o, para a modelagem estatÃ­stica do problema ou oportunidades de negÃ³cio. Ao final deste programa, vocÃª serÃ¡ capaz de compreender os principais modelos de gestÃ£o e os aspectos relacionados Ã  implementaÃ§Ã£o e monitoramento das estratÃ©gias empresariais por meio da utilizaÃ§Ã£o de tÃ©cnicas orientadas a dados e principais plataformas do mercado financeiro.",Data Science,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 3 months to complete', 'Portuguese (Brazilian)', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 3 months to complete', 'Portuguese (Brazilian)']",['Anderson FranÃ§a'],1.0,FundaÃ§Ã£o Instituto de AdministraÃ§Ã£o,7,4.7,Data Analysis,CiÃªncia de Dados para FinanÃ§as Specialization,
85,specializations,"Este programa en ciencia de datos te permite conocer y desarrollar las principales habilidades tÃ©cnicas para aportar como miembro de un equipo en un proyecto de ciencia de datos. Estas habilidades cada vez son mÃ¡s apetecidas por el mercado y es por ello que nuestros temas incluyen conocimientos bÃ¡sicos en modelos descriptivos basados en estadÃ­stica, modelos predictivos basados en aprendizaje de mÃ¡quina, y tÃ©cnicas para integrar, explorar y preparar datos, tanto estructurados como no estructurados, utilizando el lenguaje de programaciÃ³n Python y librerÃ­as de manipulaciÃ³n y anÃ¡lisis de datos.",Data Science,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 3 months to complete', 'Spanish', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 3 months to complete', 'Spanish']","['John Calvo MartÃ\xadnez', 'Harry Cristhian Torres Moreno ', 'Haydemar NuÃ±ez Castro ', 'Maria Del Pilar Villamil Giraldo']",4.0,Universidad de los Andes,26,4.6,Data Analysis,Ciencia de datosâ Specialization,2435
86,specializations,"Esta especializaciÃ³n repleta de actividades estÃ¡ dirigida a los entusiastas de la ciencia de datos que desean adquirir conocimientos prÃ¡cticos. Si estÃ¡s interesado en seguir una carrera en ciencia de datos, y ya tienes conocimientos bÃ¡sicos o has completado la EspecializaciÃ³n de IntroducciÃ³n a la Ciencia de Datos, Â¡este programa es para ti!

Esta EspecializaciÃ³n de 4 cursos te ofrecerÃ¡ las herramientas necesarias para analizar datos y tomar decisiones empresariales basadas en datos, utilizando la informÃ¡tica y el anÃ¡lisis estadÃ­stico. AprenderÃ¡s Python -sin necesidad de conocimientos previos de programaciÃ³n- y descubrirÃ¡s mÃ©todos de anÃ¡lisis y visualizaciÃ³n de datos. UtilizarÃ¡s herramientas que emplean los cientÃ­ficos de datos del mundo real, como Numpy y Pandas, practicarÃ¡s el modelado predictivo y la selecciÃ³n de modelos.

Gracias a las charlas guiadas, los laboratorios y los proyectos en IBM Cloud, obtendrÃ¡s una experiencia prÃ¡ctica para abordar interesantes problemas de datos de principio a fin. Realiza esta EspecializaciÃ³n para consolidar tus conocimientos de Python y ciencia de datos antes de sumergirte a fondo en big data, IA y deep learning.

AdemÃ¡s de obtener un certificado de Coursera por realizar la EspecializaciÃ³n, tambiÃ©n recibirÃ¡s una insignia digital de IBM que te reconocerÃ¡ como un especialista en ciencia de datos aplicada.

Esta EspecializaciÃ³n tambiÃ©n puede utilizarse para el Certificado Profesional de Ciencia de Datos de IBM.",Data Science,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 5 months to complete', 'Spanish', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 5 months to complete', 'Spanish']","['Joseph Santarcangelo', 'Alex Aklson']",2.0,IBM Skills Network,14,4.9,Machine Learning,Ciencia de Datos Aplicada Specialization,
87,specializations,"This specialization aims to provide you with a better understanding of the complex relationships between climate change and economy and finance. By the end of the program you will have gained command over the tools allowing you to build an informed opinion grounded on scientific facts on the feasibility and effectiveness of current options to fight climate change. You will also understand the pros and cons of various policy approaches involved in the transition to a low carbon economy. Finally, you will learn how climate risks affect firm fundamentals and how to implement efficient low carbon investing strategies.",Business,2248,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 5 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 5 months to complete', 'English']","['RICCARDO REBONATO - EDHEC BUSINESS SCHOOL', 'LIONEL MARTELLINI -EDHEC BUSINESS SCHOOL', 'GIANFRANCO GIANFRATE - EDHEC BUSINESS SCHOOL', 'EMANUELE CHINI - EDHEC BUSINESS SCHOOL']",4.0,EDHEC Business School,92,4.7,Finance,Climate Change and Sustainable Investing Specialization,4794
88,specializations,"This specialisation is for learners with experience in programming that are interested in expanding their skills in applying deep learning in Electronic Health Records and with a focus on how to translate their models into Clinical Decision Support Systems.

The main areas that would explore are:

Data mining of Clinical Databases: Ethics, MIMIC III database, International Classification of Disease System and definition of common clinical outcomes. Deep learning in Electronic Health Records: From descriptive analytics to predictive analytics Explainable deep learning models for healthcare applications: What it is and why it is needed Clinical Decision Support Systems: Generalisation, bias, âfairnessâ, clinical usefulness and privacy of artificial intelligence algorithms.",Data Science,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 5 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 5 months to complete', 'English']",['Fani Deligianni'],1.0,University of Glasgow ,5,4.8,Machine Learning,Informed Clinical Decision Making using Deep Learning Specialization,
89,specializations,"Are you interested in how to use data generated by doctors, nurses, and the healthcare system to improve the care of future patients? If so, you may be a future clinical data scientist!

This specialization provides learners with hands on experience in use of electronic health records and informatics tools to perform clinical data science. This series of six courses is designed to augment learnerâs existing skills in statistics and programming to provide examples of specific challenges, tools, and appropriate interpretations of clinical data.

By completing this specialization you will know how to: 1) understand electronic health record data types and structures, 2) deploy basic informatics methodologies on clinical data, 3) provide appropriate clinical and scientific interpretation of applied analyses, and 4) anticipate barriers in implementing informatics tools into complex clinical settings. You will demonstrate your mastery of these skills by completing practical application projects using real clinical data.

This specialization is supported by our industry partnership with Google Cloud. Thanks to this support, all learners will have access to a fully hosted online data science computational environment for free! Please note that you must have access to a Google account (i.e., gmail account) to access the clinical data and computational environment.",Data Science,6043,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 7 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 7 months to complete', 'English']","['Laura K. Wiley, PhD', 'Michael G. Kahn, MD, PhD']",2.0,University of Colorado System,273,4.5,Data Analysis,Clinical Data Science Specialization,4748
90,specializations,"This specialization is a four-course sequence of hands on project-intensive immersive courses aimed at computer professionals to give them an in-depth experience in developing different layers of a Cloud computing infrastructure including software defined networks, distributed runtime systems, application development, and network function virtualization. Each course (roughly 4-5 one hour videos) is organized as discussion of the technical details pertaining to that topic (from selected readings from research papers and other online resources). Each one-hour video is followed by a âhands-on workshopâ assignment (roughly 2 hours of development work) which involves developing code and experimentation using a cloud platform of the concepts discussed in the one-hour video lecture.",Information Technology,1865,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 6 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 6 months to complete', 'English']",['Umakishore Ramchandran'],1.0,Georgia Institute of Technology,23,4.5,Cloud Computing,System Issues in Cloud Computing Specialization,
91,specializations,"The Cloud Computing Specialization takes you on a tour through cloud computing systems. We start in in the middle layer with Cloud Computing Concepts covering core distributed systems concepts used inside clouds, move to the upper layer of Cloud Applications and finally to the lower layer of Cloud Networking. We conclude with a project that allows you to apply the skills you've learned throughout the courses.

The first four courses in this Specialization form the lecture component of courses in our online Master of Computer Science Degree in Data Science. You can apply to the degree program either before or after you begin the Specialization.",Computer Science,58811,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 8 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 8 months to complete', 'English']","['Indranil Gupta', 'Roy H. Campbell', 'Reza Farivar', 'P. Brighten Godfrey', 'Ankit Singla']",5.0,University of Illinois at Urbana-Champaign,1344,4.3,Computer Security and Networks,Cloud Computing Specialization,12409
92,specializations,"En 2019, Global Knowledge clasificÃ³ Google Cloud Professional Cloud Architect como una de las certificaciones mejor pagadas de TI.

Este programa le proporciona las habilidades para impulsar su carrera de arquitectura en la nube y le ofrece una ruta para obtener la certificaciÃ³n Google Cloud Professional Cloud Architect, reconocida en la industria. ImplementarÃ¡ elementos de soluciones, incluidos los componentes de la infraestructura, como las redes, los sistemas y los servicios de aplicaciones. ObtendrÃ¡ experiencia real a travÃ©s de proyectos de Qwiklabs que podrÃ¡ compartir con posibles empleadores.

AdemÃ¡s, podrÃ¡ practicar habilidades clave para el trabajo, como analizar casos, identificar puntos de anÃ¡lisis tÃ©cnicos, desarrollar soluciones propuestas y probar sus habilidades con los Labs de desafÃ­o del monitoreo de actividades. Para los participantes que quieran certificarse, este programa ofrece preguntas de muestra similares a las del examen y soluciones y cuestionarios de prÃ¡ctica que simulan la experiencia de realizar el examen.

DespuÃ©s de completar este programa, obtendrÃ¡ un certificado de finalizaciÃ³n que podrÃ¡ compartir en su red profesional y con sus posibles empleadores. Si quiere obtener su certificaciÃ³n de Google Cloud, deberÃ¡ registrarse y aprobar el examen de certificaciÃ³n. Este programa le permite adquirir las habilidades para tomar el examen de certificaciÃ³n, pero la certificaciÃ³n y su tarifa no se incluyen en el costo de este programa de capacitaciÃ³n.",Information Technology,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 6 months to complete', 'Spanish', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 6 months to complete', 'Spanish']",['Google Cloud Training'],1.0,Google Cloud,31,4.8,Cloud Computing,Preparing for Google Cloud Certification: Cloud Engineer Professional Certificate en EspaÃ±ol Specialization,
93,specializations,"This specialization is intended for application developers, system administrators and architects seeking to develop their understanding of container technology. In this three-course specialization, you will explore a range of foundational concepts from various use cases for containerized technology to understanding the differences between Kubernetes and Red Hat OpenShift to learning how to scale deployed applications.",Information Technology,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 4 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 4 months to complete', 'English']",[' Marek Czernek'],1.0,Red Hat,8,4.5,Cloud Computing,Cloud-Native Development with OpenShift and Kubernetes Specialization,1696
94,specializations,"This Specialization teaches the essential skills for working with large-scale data using SQL.

Maybe you are new to SQL and you want to learn the basics. Or maybe you already have some experience using SQL to query smaller-scale data with relational databases. Either way, if you are interested in gaining the skills necessary to query big data with modern distributed SQL engines, this Specialization is for you.

Most courses that teach SQL focus on traditional relational databases, but today, more and more of the data thatâs being generated is too big to be stored there, and itâs growing too quickly to be efficiently stored in commercial data warehouses. Instead, itâs increasingly stored in distributed clusters and cloud storage. These data stores are cost-efficient and infinitely scalable.

To query these huge datasets in clusters and cloud storage, you need a newer breed of SQL engine: distributed query engines, like Hive, Impala, Presto, and Drill. These are open source SQL engines capable of querying enormous datasets. This Specialization focuses on Hive and Impala, the most widely deployed of these query engines.

This Specialization is designed to provide excellent preparation for the Cloudera Certified Associate (CCA) Data Analyst certification exam. You can earn this certification credential by taking a hands-on practical exam using the same SQL engines that this Specialization teachesâHive and Impala.",Data Science,23705,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English']","['Glynn Durham', 'Ian Cook']",2.0,Cloudera,1051,4.8,Data Analysis,Modern Big Data Analysis with SQL Specialization,8114
95,specializations,"In this Specialization, you will learn the essential skills to coach people for improved performance. You will learn from Executive Coach and UC Davis Instructor Kris Plachy, who has created and transformed dozens of teams through coaching. She will share best practices, research, tools and models for coaching effectively. You will learn how effective managers use coaching to establish clear expectations and accountability, how to assess performance, and how to conduct coaching conversations that build awareness and get results. Throughout the courses, you will apply insights about management and coaching to develop your own coaching practice and tools.",Business,21509,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 4 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 4 months to complete', 'English']",['Kris Plachy'],1.0,"University of California, Davis",1285,4.7,Leadership and Management,Coaching Skills for Managers Specialization,6703
96,specializations,"This Specialization is intended for all programming enthusiasts, as well as beginners, computer and other scientists, and artificial intelligence enthusiasts seeking to develop their programming skills in the foundational languages of C and C++. Through the four courses â two in C, and two in C++ â you will cover the basics of programming in C and move on to the more advanced C++ semantics and syntax, which will prepare you to apply these skills to a number of higher-level problems using AI algorithms and Monte Carlo evaluation in complex games.",Computer Science,73534,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 6 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 6 months to complete', 'English']",['Ira Pohl'],1.0,"University of California, Santa Cruz",1970,4.4,Software Development,Coding for Everyone: C and C++ Specialization,44539
97,specializations,"In this specialization, you will experience what it is to go from idea to code. These courses are specifically created for the manager, designer, or entrepreneur who is an active, hands-on collaborator with developers. By the end of the program, you will be able to build working software using HTML, CSS, and Javascript. More important, you will build your creative confidence (and competency!) on engaging in digital projects.",Business,5458,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 3 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 3 months to complete', 'English']",['Alex Cowan'],1.0,University of Virginia,45,4.2,Leadership and Management,"Coding for Designers, Managers, and Entrepreneurs Specialization",1640
98,specializations,"This specialization is intended for people who are interested in taking their web development with Django to the next level. It is assumed that learners have are familiar with Python and have taken the Django for Everybody specialization, or have equivalent experience with Django basics.

In these four courses, you will cover everything from the architecting of large web development projects, to the Django REST framework, to task queuing. These topics will prepare you to create advanced websites that integrate with popular APIs and popular JavaScript frameworks, giving you enough understanding of Django to tackle more specialized projects.",Computer Science,2013,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Advanced Level', 'Approximately 4 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Advanced Level', 'Approximately 4 months to complete', 'English']","['Patrick Ester', 'Ben Shaw']",2.0,Codio,39,4.7,Mobile and Web Development,Advanced Django: Mastering Django and Django Rest Framework Specialization,5740
99,specializations,"This specialization is intended for people without programming experience who seek an approachable introduction to data science that uses Python and R to describe and visualize data sets. This course will equip learners with foundational knowledge of data analysis suitable for any analyst roles. In these four courses, you will cover everything from data wrangling to data visualization. These topics will help prepare you to handle various types of data sets, giving you enough knowledge of data science to proficiently compare data sets, describe their relationship, and produce visualizations that highlight that relationship.",Data Science,1921,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 5 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 5 months to complete', 'English']","['Kevin Noelsaint', 'Anh Le']",2.0,Codio,11,3.1,Data Analysis,Data Science and Analysis Tools - from Jupyter to R Markdown Specialization,
100,specializations,"Este Programa de Cursos Integrados tem como objetivo oferecer ao participante uma ampla visÃ£o do comÃ©rcio internacional, incluindo instituiÃ§Ãµes, principais regulamentos e aspectos operacionais prÃ¡ticos.

Ao final, vocÃª serÃ¡ capaz de conhecer e participar do contexto internacional, atuando como importador, exportador ou prestador de serviÃ§os.",Social Sciences,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'Portuguese (Brazilian)', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'Portuguese (Brazilian)']",['Gleriani Fereira'],1.0,FundaÃ§Ã£o Instituto de AdministraÃ§Ã£o,16,5.0,Economics,ComÃ©rcio Internacional Specialization,
101,specializations,"A travÃ©s de los 3 cursos que integran este programa de especializaciÃ³n, comprenderÃ¡s cÃ³mo funcionan los flujos de informaciÃ³n que circulan por las redes sociales y cÃ³mo posicionarte en ellas. AprenderÃ¡s nuevos lenguajes narrativos y conseguirÃ¡s habilidades esenciales para la captaciÃ³n de noticias con dispositivos mÃ³viles.",Information Technology,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'Spanish', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'Spanish']","['Pedro Soler Rojas', 'Ignacio Navarro Nozal', 'Esther GonzÃ¡lez GarÃ\xadn', 'JosÃ© Javier De la Fuente', 'MANUEL SANTIAGO AGUILAR GUTIERREZ']",5.0,Radio y TelevisiÃ³n EspaÃ±ola,16,,Networking,Competencias y habilidades esenciales en el entorno digital Specialization,
102,specializations,"Esta Especialidad estÃ¡ dirigida a profesionales y tÃ©cnicos de la salud, profesionales en salud pÃºblica con actividades en servicios de salud, investigadores, editores cientÃ­ficos, estudiantes de pregrado y posgrado en carreras de salud y otras partes interesadas.",Health,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 3 months to complete', 'Spanish', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 3 months to complete', 'Spanish']","['Manuel PÃ©rez JimÃ©nez', 'Dixia Patricia RamÃ\xadrez Vega', 'Fresia Paloma HernÃ¡ndez Moreno', 'Daniel Bernal Serrano', 'Antonio DÃ¡vila Rivas', 'Mary Ana Cordero Diaz', 'Pilar GonzÃ¡lez Amarante', 'Silvia Lizett Olivares Olivares', 'Lydia Estela ZerÃ³n GutiÃ©rrez', 'YÃ©ssica Mireles Zavala', 'Efrain Navarro Olivos', 'Karla Patricia Pacheco Alvarado', 'Alex IvÃ¡n SuÃ¡rez Regalado', 'CÃ©sar Alberto Lucio RamÃ\xadrez', 'Julieta RodrÃ\xadguez-de Ita', 'Jorge E. Valdez GarcÃ\xada', 'Patricia Segura Medina']",17.0,TecnolÃ³gico de Monterrey,16,,Healthcare Management,Compromiso del paciente: resultados clÃ­nicos satisfactorios Specialization,
103,specializations,"The purpose of this series of courses is to teach the basics of Computational Statistics for the purpose of performing inference to aspiring or new Data Scientists. This is not intended to be a comprehensive course that teaches the basics of statistics and probability nor does it cover Frequentist statistical techniques based on the Null Hypothesis Significance Testing (NHST). What it does cover is:

The basics of Bayesian statistics and probability

Understanding Bayesian inference and how it works

The bare-minimum set of tools and a body of knowledge required to perform Bayesian inference in Python, i.e. the PyData stack of NumPy, Pandas, Scipy, Matplotlib, Seaborn and Plot.ly

A scalable Python-based framework for performing Bayesian inference, i.e. PyMC3

With this goal in mind, the content is divided into the following three main sections (courses).

Introduction to Bayesian Statistics - The attendees will start off by learning the the basics of probability, Bayesian modeling and inference in Course 1.

Introduction to Monte Carlo Methods - This will be followed by a series of lectures on how to perform inference approximately when exact calculations are not viable in Course 2.

PyMC3 for Bayesian Modeling and Inference - PyMC3 will be introduced along with its application to some real world scenarios.

The lectures will be delivered through Jupyter notebooks and the attendees are expected to interact with the notebooks.",Data Science,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 3 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 3 months to complete', 'English']",['Dr. Srijith Rajamohan'],1.0,Databricks,26,3.3,Probability and Statistics,Introduction to Computational Statistics for Data Scientists Specialization,
104,specializations,"In the 21st century, computational thinking is a skill critical for all the world's citizens. Computing and technology is impacting all our lives and everyone needs to know how to formulate problems and express their solutions such that a computer can carry it out.

In this Specialization you will both learn several block-based languages, but using novel approaches designed to make learning programming easier.

Covers most CSTA Algorithms & Programming Standards for Algorithms, Variables, Control, and Modularity: Levels 1-3A.",Social Sciences,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 8 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 8 months to complete', 'English']",['Beth Simon'],1.0,University of California San Diego,25,4.7,Education,Computational Thinking & Block Programming in K-12 Education Specialization,
105,specializations,"This specialization is developed for seniors and fresh graduate students to understand fundamental network architecture concepts and their impacts on cyber security, to develop skills and techniques required for network protocol design, and prepare for a future of constant change through exposure to network design alternatives. Students will require a prior knowledge of C programming, an understanding of math probability and a computer science background is a plus.",Computer Science,32787,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 5 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 5 months to complete', 'English']",['Xiaobo Zhou'],1.0,University of Colorado System,1618,4.7,Computer Security and Networks,Computer Communications Specialization,8239
